Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Nonfiction,Memoir,Biography,Science,History,Biography,Memoir,Space,...more",1998-01-01,Homer Hickam,Rocket Boys,4.19,22560.0,2254.0,31.0,639.0
"Psychology,Philosophy,Nonfiction,Science,History,Religion,Anthropology,...more",1976-01-01,Julian Jaynes,The Origin of Consciousness in the Breakdown of the Bicameral Mind,4.26,5532.0,702.0,9.0,162.0
"Education,Nonfiction,Philosophy,Politics,Theory,Social,Justice,Teaching,...more",1968-01-01,Paulo Freire,Pedagogy of the Oppressed,4.3,35424.0,2474.0,131.0,1267.0
"Travel,Nonfiction,Memoir,Adventure,Biography,History,Biography,Memoir,...more",1982-01-01,William Least Heat-Moon,Blue Highways,4.03,24322.0,1463.0,26.0,395.0
"Fiction,Historical Fiction,Classics,Literature,Historical Novels,Scandinavian,Literature,...more",1925-01-01,O.E. Rølvaag,Giants in the Earth,4.03,5862.0,631.0,20.0,45.0
"Historical Fiction,Fiction,Historical Westerns,Novels,American,History,Epic,...more",1985-01-01,James A. Michener,Texas,4.1,18694.0,544.0,475.0,3162.0
"Fiction,Science,Fiction,Fantasy,Humor,Philosophy,Conspiracy,Theories,Novels,...more",1983-12-01,Robert Shea,The Illuminatus! Trilogy,4.01,15795.0,925.0,59.0,160.0
"Nonfiction,Science,History,Memoir,Biography,Short,Stories,Italian,Literature,...more",1975-04-12,Primo Levi,The Periodic Table,4.15,17495.0,1373.0,168.0,2010.0
"Fiction,Classics,Novels,Contemporary,Literature,Literary,Fiction,British,Literature,...more",1984-01-01,Martin Amis,Money,3.69,24009.0,1436.0,84.0,2841.0
"Fiction,Nature,Environment,Classics,Humor,Politics,Novels,...more",1975-08-01,Edward Abbey,The Monkey Wrench Gang,4.08,26971.0,1873.0,63.0,1810.0
"Poetry,Classics,Literature,Fiction20th,Century,British,Literature,Anthologies,...more",1976-01-01,W.H. Auden,Collected Poems,4.27,6032.0,95.0,591.0,1002.0
"History,Biography,Nonfiction,Politics,New,York,Business,American,History,...more",1974-09-16,Robert A. Caro,The Power Broker: Robert Moses and the Fall of New York,4.48,22723.0,2632.0,32.0,2513.0
"Historical Fiction,Fiction,Civil,War,Historical Politics,American,History,Literature,...more",1984-01-01,Gore Vidal,Lincoln,4.24,9501.0,620.0,291.0,1764.0
"Mystery,Fiction,Classics,Crime,Mystery,Thriller,British,Literature,Detective,...more",1935-01-01,Dorothy L. Sayers,Gaudy Night,4.2,30111.0,2457.0,669.0,2752.0
"Historical Fiction,Fiction,Politics,American,History,Historical Novels,American,...more",1973-11-01,Gore Vidal,Burr,4.08,10219.0,833.0,291.0,1764.0
"Fiction,Classics,Literary,Fiction,Literature,Novels,British,Literature20th,Century,...more",1978-01-01,Iris Murdoch,"The Sea, the Sea",3.95,22548.0,2189.0,110.0,2260.0
"Historical Fiction,Fiction,Historical Ancient,History,Egypt,Ancient,Fantasy,...more",1983-01-01,Janet E. Morris,"I, the Sun",4.21,447.0,81.0,97.0,348.0
"Nonfiction,History,Philosophy,Politics,Theory,Sociology,Anthropology,...more",1978-01-01,Edward W. Said,Orientalism,4.12,26203.0,1715.0,196.0,3725.0
"Historical Fiction,Fiction,Historical British,Literature,Novels,Travel,Unfinished,...more",1997-01-01,Edward Rutherfurd,London,4.09,32304.0,1984.0,36.0,5201.0
"Fiction,Classics,German,Literature,Germany,Literature,Novels20th,Century,...more",1929-10-01,Alfred Döblin,Berlin Alexanderplatz,3.84,10082.0,845.0,184.0,208.0
"Fiction,War,Historical Fiction,Classics,Literature,Novels,Historical,...more",1978-01-01,Tim O'Brien,Going After Cacciato,3.9,14047.0,941.0,118.0,2991.0
"Memoir,Nonfiction,Feminism,Classics,China,Biography,School,...more",1976-08-12,Maxine Hong Kingston,The Woman Warrior,3.73,32241.0,2183.0,46.0,617.0
"Nonfiction,Classics,Memoir,Biography,Biography,Memoir,Death,School,...more",1949-01-01,John Gunther,Death Be Not Proud,3.86,12517.0,780.0,93.0,410.0
