Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Fiction,Classics,Coming,Of,Age,Southern,Novels,Literary,Fiction,Young,Adult,more",1946-01-01,Carson McCullers,The Member the Wedding,3.82,18654,1723,161.0,2876.0
"History,Nonfiction,Philosophy,World,History,Reference,Historical Classics,more",1975-01-01,Will Durant,Story Civilization,4.43,1752,172,743.0,2790.0
"Poetry,Classics,American,Literature,Fictionth,Century,The,United,States,Of,America,more",1954-01-01,Wallace Stevens,The Collected Poems,4.27,11429,195,169.0,469.0
"Fiction,Poetry,Short,Stories,Literature,Humor,Classics,Novels,more",1967-01-01,Richard Brautigan,Trout Fishing America The Pill the Springhill Mine Disaster Watermelon Sugar,4.15,9710,472,144.0,2064.0
"Historical Fiction,Fiction,Romance,Classics,Canada,Historical Young,Adult,more",1947-01-01,Benedict Freedman,Mrs Mike,4.15,19770,2401,12.0,58.0
"Fiction,Southern,Historical Fiction,Military,Fiction,Contemporary,Literature,Classics,more",1976-01-01,Pat Conroy,The Great Santini,4.15,33464,1465,72.0,3636.0
"Classics,Fiction,Historical Fiction,German,Literature,War,Romance,Germany,more",1945-01-01,Erich Maria Remarque,Arch Triumph Novel Man Without Country,4.43,28236,1203,191.0,5460.0
"Fiction,Classics,Novels,American,Literature,The,United,States,Of,America,Romance,more",1939-01-01,John Fante,Ask the Dust,4.1,36089,2643,50.0,2121.0
"Short,Stories,Fiction,Westerns,L,G,B,T,Literature,Contemporary,Literary,Fiction,more",1999-05-10,Annie Proulx,Close Range Wyoming Stories,3.99,17436,1471,66.0,3031.0
"Fiction,Historical Fiction,Literature,Historical African,American,Race,Novels,more",1968-01-01,William Styron,The Confessions Nat Turner,3.95,15749,677,99.0,845.0
"Fiction,Classics,Historical Fiction,Jewish,New,York,American,Literature,more",1934-01-01,Henry Roth,Call Sleep,3.81,8690,567,65.0,85.0
"Fiction,Classics,Spanish,Literature,Latin,American,Novels,Literature,Latin,American,Literature,more",1961-01-01,Ernesto Sabato,Sobre h roes tumbas,4.26,12677,738,90.0,1996.0
"Fiction,Classics,Literature,Nobel,Prize,Novels,Scandinavian,Literatureth,Century,more",1917-01-01,Knut Hamsun,Growth the Soil,4.23,10937,968,596.0,2245.0
"Nonfiction,History,Biography,Memoir,War,Classics,World,War,I,more",1929-01-01,Robert Graves,Goodbye All That,3.93,14846,850,490.0,1767.0
"Classics,Fiction,German,Literature,School Literature,Novelsth,Century,more",1957-10-01,Max Frisch,Homo Faber,3.69,27659,1042,245.0,728.0
"Fiction,Classics,Historical Fiction,School Novels,Literature,Literary,Fiction,more",1977-01-01,Leslie Marmon Silko,Ceremony,3.84,24327,2067,35.0,861.0
"Fiction,Classics,American,Novels,Literature,Literary,Fictionth,Century,more",1981-01-01,John Updike,Rabbit Rich,3.92,17363,737,793.0,2283.0
"Memoir,Nonfiction,Biography,Biography,Memoir,Coming,Of,Age,Autobiography,Classics,more",1989-01-01,Tobias Wolff,This Boys Life,3.96,29568,1787,169.0,1152.0
